grade,faculty,department,price,purpose1,purpose2,purpose3,freaquency,gender,class label
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"20,001 - 25,000 บาท",ตัดต่อวิดิโอ,เล่นเกม,เล่นเกม,ไม่พกพาเลย,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"มากกว่า 30,000 บาท",เขียนโปรแกรม,การศึกษา,การศึกษา,1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"20,001 - 25,000 บาท",เขียนโปรแกรม,การศึกษา,การศึกษา,3-5วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิศวกรรมศาสตร์,วิศวกรรมแมคคาทรอนิกส์,"มากกว่า 30,000 บาท",เขียนโปรแกรม,การศึกษา,การศึกษา,3-5วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,สถิติ,"25,001 - 30,000 บาท",การศึกษา,เขียนโปรแกรม,เขียนโปรแกรม,ไม่พกพาเลย,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"20,001 - 25,000 บาท",เขียนโปรแกรม,การศึกษา,การศึกษา,1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"15,001 - 20,000 บาท",เล่นเกม,การศึกษา,การศึกษา,ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"25,001 - 30,000 บาท",สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),การศึกษา,การศึกษา,3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 1,คณะวิศวกรรมศาสตร์,วิศวกรรมเคมี,"20,001 - 25,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 2,คณะศิลปศาสตร์,ภาษา,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"20,001 - 25,000 บาท",การศึกษา,เขียนโปรแกรม,เขียนโปรแกรม,3-5วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิศวกรรมศาสตร์,วิศวกรรมอาหาร,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 1,คณะวิศวกรรมศาสตร์,วิศวกรรมเกษตร,"10,001 - 15,000 บาท",การศึกษา,ตัดต่อวิดิโอ,ตัดต่อวิดิโอ,1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"25,001 - 30,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"10,001 - 15,000 บาท",การศึกษา,เล่นเกม,เล่นเกม,ทุกวัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,คณิตศาสตร์,"20,001 - 25,000 บาท",การศึกษา,เขียนโปรแกรม,เขียนโปรแกรม,ทุกวัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"15,001 - 20,000 บาท",การศึกษา,เขียนโปรแกรม,เขียนโปรแกรม,1-2วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์​,"20,001 - 25,000 บาท",เล่นเกม,การศึกษา,การศึกษา,1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะวิศวกรรมศาสตร์,วิศวกรรมสังคีต,"15,001 - 20,000 บาท",การศึกษา,เล่นเกม,เล่นเกม,3-5วัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
